行业,品质,分数
宣纸晒纸,精度,24.3
宣纸晒纸,责任,7.1
宣纸晒纸,创新,64.8
宣纸晒纸,专注,28.6
宣纸晒纸,吃苦,0.0
宣纸晒纸,学习,85.7
宣纸晒纸,协作,24.3
宣纸晒纸,极致,24.3
宣纸捞纸,精度,24.3
宣纸捞纸,责任,14.3
宣纸捞纸,创新,64.8
宣纸捞纸,专注,42.9
宣纸捞纸,吃苦,0.0
宣纸捞纸,学习,92.9
宣纸捞纸,协作,24.3
宣纸捞纸,极致,40.5
古编钟,精度,24.3
古编钟,责任,7.1
古编钟,创新,64.8
古编钟,专注,28.6
古编钟,吃苦,0.0
古编钟,学习,85.7
古编钟,协作,24.3
古编钟,极致,24.3
古丝绸,精度,24.3
古丝绸,责任,7.1
古丝绸,创新,64.8
古丝绸,专注,28.6
古丝绸,吃苦,0.0
古丝绸,学习,85.7
古丝绸,协作,24.3
古丝绸,极致,24.3
书画修复,精度,0.0
书画修复,责任,14.3
书画修复,创新,0.0
书画修复,专注,57.1
书画修复,吃苦,51.1
书画修复,学习,7.1
书画修复,协作,0.0
书画修复,极致,0.0
硬币雕刻,精度,48.6
硬币雕刻,责任,7.1
硬币雕刻,创新,64.8
硬币雕刻,专注,28.6
硬币雕刻,吃苦,0.0
硬币雕刻,学习,85.7
硬币雕刻,协作,24.3
硬币雕刻,极致,24.3
钞票雕刻,精度,24.3
钞票雕刻,责任,7.1
钞票雕刻,创新,64.8
钞票雕刻,专注,35.7
钞票雕刻,吃苦,0.0
钞票雕刻,学习,100.0
钞票雕刻,协作,40.5
钞票雕刻,极致,32.4
